referenceNumber,engine,commandId,title,description,sourceDocument,implementation
143,المساعد الذكي والذكاء الاصطناعي,insert-lorem-arabic,نص عربي تجريبي,إدراج فقرات عربية لتجربة التصميم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
144,المساعد الذكي والذكاء الاصطناعي,metric-words-pro,عدد الكلمات,تحليل المستند وعرض عدد الكلمات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
145,المساعد الذكي والذكاء الاصطناعي,open-log,فتح سجل الإضافة,فتح أحدث ملف Log.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
146,المساعد الذكي والذكاء الاصطناعي,metric-bookmarks-pro,عدد الإشارات المرجعية,تحليل المستند وعرض عدد الإشارات المرجعية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
147,المساعد الذكي والذكاء الاصطناعي,metric-characters-pro,عدد الأحرف,تحليل المستند وعرض عدد الأحرف.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
148,المساعد الذكي والذكاء الاصطناعي,metric-comments-pro,عدد التعليقات,تحليل المستند وعرض عدد التعليقات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
149,المساعد الذكي والذكاء الاصطناعي,metric-fields-pro,عدد الحقول,تحليل المستند وعرض عدد الحقول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
150,المساعد الذكي والذكاء الاصطناعي,metric-footnotes-pro,عدد الحواشي,تحليل المستند وعرض عدد الحواشي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
151,المساعد الذكي والذكاء الاصطناعي,metric-headings-pro,عدد العناوين,تحليل المستند وعرض عدد العناوين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
152,المساعد الذكي والذكاء الاصطناعي,metric-hyperlinks-pro,عدد الروابط,تحليل المستند وعرض عدد الروابط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
153,المساعد الذكي والذكاء الاصطناعي,metric-images-pro,عدد الصور,تحليل المستند وعرض عدد الصور.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
154,المساعد الذكي والذكاء الاصطناعي,metric-pages-pro,عدد الصفحات,تحليل المستند وعرض عدد الصفحات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
155,المساعد الذكي والذكاء الاصطناعي,metric-paragraphs-pro,عدد الفقرات,تحليل المستند وعرض عدد الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
156,المساعد الذكي والذكاء الاصطناعي,metric-readability-pro,قابلية القراءة,تحليل المستند وعرض قابلية القراءة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
157,المساعد الذكي والذكاء الاصطناعي,metric-revisions-pro,عدد التعديلات,تحليل المستند وعرض عدد التعديلات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
158,المساعد الذكي والذكاء الاصطناعي,metric-sections-pro,عدد المقاطع,تحليل المستند وعرض عدد المقاطع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
159,المساعد الذكي والذكاء الاصطناعي,metric-tables-pro,عدد الجداول,تحليل المستند وعرض عدد الجداول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
160,المساعد الذكي والذكاء الاصطناعي,document-dashboard,لوحة المستند,عرض الصفحات والكلمات والجداول والصور والروابط والمراجعات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
161,المساعد الذكي والذكاء الاصطناعي,word-frequency-top,أكثر الكلمات تكرارًا,إنشاء تقرير بأعلى الكلمات تكرارًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
162,المساعد الذكي والذكاء الاصطناعي,list-bookmarks,قائمة الإشارات المرجعية,إنشاء قائمة بأسماء Bookmarks.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
163,المساعد الذكي والذكاء الاصطناعي,list-document-headings,قائمة العناوين,إنشاء مستند جديد بجميع العناوين وأنماطها.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
164,المساعد الذكي والذكاء الاصطناعي,word-frequency-report,تحليل تكرار الكلمات,إنشاء تقرير بأكثر 50 كلمة تكرارًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
165,المساعد الذكي والذكاء الاصطناعي,long-paragraph-report,تقرير الفقرات الطويلة,إنشاء تقرير بالفقرات التي تتجاوز حد الكلمات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
166,المساعد الذكي والذكاء الاصطناعي,extract-numbers-pro,استخراج الأرقام,استخراج القيم الرقمية الفريدة من النص.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
167,المساعد الذكي والذكاء الاصطناعي,academic-heading-audit,تدقيق هيكل العناوين,تحليل تسلسل Heading 1–3 واكتشاف القفزات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
168,المساعد الذكي والذكاء الاصطناعي,insert-executive-summary,هيكل ملخص تنفيذي,إدراج هيكل احترافي للملخص التنفيذي والنتائج والتوصيات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
169,المساعد الذكي والذكاء الاصطناعي,insert-pestle-matrix,تحليل PESTLE,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
170,المساعد الذكي والذكاء الاصطناعي,insert-swot-matrix,تحليل SWOT,إدراج جدول نقاط القوة والضعف والفرص والتهديدات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
171,المساعد الذكي والذكاء الاصطناعي,insert-swot-matrix-v3,تحليل SWOT,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
172,المساعد الذكي والذكاء الاصطناعي,legal-highlight-obligations,تمييز الالتزامات,تمييز كلمات الالتزام والوجوب والمسؤولية داخل المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
173,المساعد الذكي والذكاء الاصطناعي,orientation-portrait-pro,اتجاه عمودي احترافي,تعيين اتجاه الصفحة عموديًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
174,المساعد الذكي والذكاء الاصطناعي,productivity-reading-time,زمن القراءة المتوقع,حساب زمن القراءة بناءً على عدد الكلمات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
175,المساعد الذكي والذكاء الاصطناعي,productivity-session-report,تقرير جلسة العمل,عرض مدة الجلسة والكلمات المضافة ومعلومات المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
176,الهندسة الجدولية والحسابات,table-calculation-template,جدول حسابات,إدراج جدول بنود وكميات وأسعار وإجماليات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
177,الهندسة الجدولية والحسابات,table-format-currency,تنسيق العملة,تنسيق القيم الرقمية في الخلايا المحددة كعملة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
178,الهندسة الجدولية والحسابات,table-format-date,تنسيق التاريخ,توحيد التواريخ الموجودة في خلايا الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
179,الهندسة الجدولية والحسابات,table-alternate-columns,تظليل الأعمدة بالتناوب,تطبيق تظليل متبادل على أعمدة الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
180,الهندسة الجدولية والحسابات,table-format-percent,تنسيق النسب المئوية,تنسيق القيم الرقمية في الجدول كنسب مئوية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
181,الهندسة الجدولية والحسابات,table-summary-template,جدول تلخيص بيانات,إدراج قالب تلخيص فئات وقيم ونسب.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
182,الهندسة الجدولية والحسابات,tabs-to-table-smart,Tabs إلى جدول ذكي,تحويل النص المفصول بعلامات Tab إلى جدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
183,الهندسة الجدولية والحسابات,table-sum-column,مجموع العمود,إضافة صف مجموع للعمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
184,الهندسة الجدولية والحسابات,table-average-column,متوسط العمود,إضافة صف متوسط للعمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
185,الهندسة الجدولية والحسابات,table-sort-asc,فرز الجدول تصاعديًا,فرز الصفوف حسب العمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
186,الهندسة الجدولية والحسابات,table-sort-desc,فرز الجدول تنازليًا,فرز الصفوف تنازليًا حسب العمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
187,الهندسة الجدولية والحسابات,table-autofit-window,ملاءمة الصفحة,ملاءمة عرض الجدول للصفحة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
188,الهندسة الجدولية والحسابات,table-banded-rows,صفوف متبادلة,تظليل صفوف الجدول بالتناوب.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
189,الهندسة الجدولية والحسابات,table-center-cells,توسيط الخلايا,توسيط أفقي وعمودي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
190,الهندسة الجدولية والحسابات,table-col-right,عمود يمين,إضافة عمود في نهاية الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
191,الهندسة الجدولية والحسابات,table-number-first-column,ترقيم العمود الأول,إضافة تسلسل رقمي للصفوف.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
192,الهندسة الجدولية والحسابات,table-professional,تنسيق جدول احترافي,حدود وعنوان وتوسيط وملاءمة الصفحة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
193,الهندسة الجدولية والحسابات,table-row-below,صف أسفل,إضافة صف في نهاية الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
194,الهندسة الجدولية والحسابات,table-transpose,تبديل الصفوف والأعمدة,Transpose للجدول الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
195,الهندسة الجدولية والحسابات,table-vertical-bottom,محاذاة عمودية أسفل,محاذاة محتوى الخلايا للأسفل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
196,الهندسة الجدولية والحسابات,table-vertical-middle,محاذاة عمودية وسط,محاذاة محتوى الخلايا للوسط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
197,الهندسة الجدولية والحسابات,table-vertical-top,محاذاة عمودية أعلى,محاذاة محتوى الخلايا للأعلى.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
198,الهندسة الجدولية والحسابات,table-borders-all,كل الحدود,إظهار جميع حدود الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
199,الهندسة الجدولية والحسابات,table-borders-none,بدون حدود,إخفاء حدود الجدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
200,الهندسة الجدولية والحسابات,table-col-left,عمود يسار,إضافة عمود قبل العمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
201,الهندسة الجدولية والحسابات,table-delete-column,حذف العمود,حذف العمود الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
202,الهندسة الجدولية والحسابات,table-delete-row,حذف الصف,حذف الصف الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
203,الهندسة الجدولية والحسابات,table-distribute-rows,توزيع الصفوف,توزيع الصفوف بالتساوي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
204,الهندسة الجدولية والحسابات,table-header-style,تنسيق صف العنوان,تظليل وتغليظ وتكرار الصف الأول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
205,الهندسة الجدولية والحسابات,table-ltr,جدول LTR,اتجاه الجدول من اليسار إلى اليمين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
206,الهندسة الجدولية والحسابات,table-merge-cells,دمج الخلايا,دمج الخلايا المحددة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
207,الهندسة الجدولية والحسابات,table-remove-duplicate-rows,حذف الصفوف المكررة,حذف الصفوف المتطابقة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
208,الهندسة الجدولية والحسابات,table-remove-empty-rows,حذف الصفوف الفارغة,حذف الصفوف التي لا تحتوي بيانات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
209,الهندسة الجدولية والحسابات,table-repeat-header,تكرار صف العنوان,تكرار الصف الأول في كل صفحة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
210,الهندسة الجدولية والحسابات,table-row-above,صف أعلى,إضافة صف فوق الخلية الحالية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
211,الهندسة الجدولية والحسابات,table-rtl,جدول RTL,اتجاه الجدول من اليمين إلى اليسار.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
212,الهندسة الجدولية والحسابات,table-split-cell,تقسيم الخلية,تقسيم الخلية إلى صفوف وأعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
213,الهندسة الجدولية والحسابات,table-to-text,تحويل جدول إلى نص,تحويل الجدول إلى نص مفصول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
214,الهندسة الجدولية والحسابات,table-trim-cells,تنظيف الخلايا,حذف المسافات الزائدة داخل الخلايا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
215,الهندسة الجدولية والحسابات,text-to-table,تحويل نص إلى جدول,تحويل نص مفصول بعلامات إلى جدول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
216,الهندسة الجدولية والحسابات,table-autofit-content,ملاءمة المحتوى,ملاءمة عرض الأعمدة للمحتوى.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
217,الهندسة الجدولية والحسابات,table-digits-eastern-pro,أرقام الجدول عربية,تحويل أرقام جميع خلايا الجدول إلى ٠١٢٣.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
218,الهندسة الجدولية والحسابات,table-digits-western-pro,أرقام الجدول غربية,تحويل أرقام جميع خلايا الجدول إلى 0123.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
219,الهندسة الجدولية والحسابات,table-distribute-columns,توزيع الأعمدة,توزيع الأعمدة بالتساوي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
220,الهندسة الجدولية والحسابات,table-auto-row-height,ارتفاع صفوف تلقائي,إعادة ارتفاع الصفوف إلى الوضع التلقائي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
221,الميديا والوسائط والأشكال,media-caption-images,إضافة تسميات للصور,إضافة Caption تلقائي لكل صورة مضمنة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
222,الميديا والوسائط والأشكال,media-accessibility-report,تقرير وصول الصور,إظهار الصور التي تفتقد النص البديل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
223,الميديا والوسائط والأشكال,media-center-images,توسيط جميع الصور,توسيط فقرات الصور المضمنة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
224,الميديا والوسائط والأشكال,media-compress-pictures,ضغط الصور,تشغيل أمر Word المدمج لضغط الصور.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
225,الميديا والوسائط والأشكال,media-export-images,تصدير صور المستند,حفظ نسخة HTML لاستخراج صور المستند في مجلد مستقل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
226,الميديا والوسائط والأشكال,media-fit-page,ملاءمة الصور للصفحة,تحديد عرض الصور بما يناسب مساحة الصفحة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
227,الميديا والوسائط والأشكال,media-resize-half,تصغير الصور 50%,تقليل أبعاد جميع الصور المضمنة إلى النصف.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
228,الميديا والوسائط والأشكال,insert-checkbox-symbols,مربعات اختيار جاهزة,إدراج عدد من مربعات الاختيار.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
229,الميديا والوسائط والأشكال,insert-current-time,إدراج الوقت الحالي,إدراج الوقت بصيغة HH:mm.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
230,الميديا والوسائط والأشكال,insert-document-info,كتلة معلومات المستند,إدراج العنوان والمؤلف واسم الملف والتاريخ.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
231,الميديا والوسائط والأشكال,insert-iso-date,إدراج تاريخ ISO,إدراج التاريخ بصيغة yyyy-MM-dd.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
232,الميديا والوسائط والأشكال,insert-page-x-of-y,صفحة X من Y,إضافة ترقيم صفحة من إجمالي الصفحات في التذييل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
233,الميديا والوسائط والأشكال,insert-timestamp,إدراج طابع زمني,إدراج التاريخ والوقت الكامل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
234,الميديا والوسائط والأشكال,font-color-blue-pro,لون أزرق احترافي,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
235,الميديا والوسائط والأشكال,font-color-gray-pro,لون رمادي احترافي,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
236,الميديا والوسائط والأشكال,font-color-green-pro,لون أخضر احترافي,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
237,الميديا والوسائط والأشكال,font-color-red-pro,لون أحمر احترافي,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
238,الميديا والوسائط والأشكال,text-allcaps-off,إلغاء الأحرف الكبيرة,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
239,الميديا والوسائط والأشكال,text-allcaps-on,أحرف كبيرة,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
240,الميديا والوسائط والأشكال,text-bold-off,إلغاء الغامق,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
241,الميديا والوسائط والأشكال,text-bold-on,غامق,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
242,الميديا والوسائط والأشكال,text-italic-off,إلغاء المائل,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
243,الميديا والوسائط والأشكال,text-italic-on,مائل,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
244,الميديا والوسائط والأشكال,text-strike-off,إلغاء يتوسطه خط,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
245,الميديا والوسائط والأشكال,text-strike-on,يتوسطه خط,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
246,الميديا والوسائط والأشكال,text-subscript,منخفض Subscript,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
247,الميديا والوسائط والأشكال,text-superscript,مرتفع Superscript,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
248,الميديا والوسائط والأشكال,text-underline-off,إلغاء التسطير,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
249,الميديا والوسائط والأشكال,text-underline-on,تسطير,تطبيق تأثير نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
250,الميديا والوسائط والأشكال,line-numbers-continuous-pro,ترقيم أسطر مستمر,إظهار أرقام الأسطر بصورة مستمرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
251,الميديا والوسائط والأشكال,clear-highlight-pro,إزالة التمييز,إزالة لون التمييز من التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
252,الميديا والوسائط والأشكال,font-color-automatic,لون خط تلقائي,إعادة لون الخط إلى اللون التلقائي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
253,الميديا والوسائط والأشكال,highlight-clear,إزالة التمييز,إزالة لون التمييز.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
254,الميديا والوسائط والأشكال,highlight-green,تمييز أخضر,تمييز النص باللون الأخضر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
255,الميديا والوسائط والأشكال,highlight-red,تمييز أحمر,تمييز النص باللون الأحمر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
256,الميديا والوسائط والأشكال,highlight-yellow,تمييز أصفر,تمييز النص باللون الأصفر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
257,الميديا والوسائط والأشكال,insert-issue-log-pro,سجل المشكلات,إدراج جدول لتتبع القضايا والمشكلات حتى الإغلاق.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
258,الميديا والوسائط والأشكال,insert-issue-register-v3,سجل المشكلات العالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
259,الميديا والوسائط والأشكال,about,حول WordPro Suite,معلومات الإصدار والتقنية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
260,الميديا والوسائط والأشكال,academic-bibliography-audit,تدقيق قائمة المراجع,فحص قائمة المراجع وإظهار الأسطر المكررة أو الناقصة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
261,أتمتة العمليات المجمعة,batch-accept-revisions,قبول التعديلات دفعيًا,قبول التعديلات المتعقبة في ملفات مجلد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
262,أتمتة العمليات المجمعة,batch-protect-readonly,حماية للقراءة فقط دفعيًا,تطبيق حماية القراءة فقط على ملفات مجلد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
263,أتمتة العمليات المجمعة,batch-remove-comments,حذف التعليقات دفعيًا,حذف تعليقات جميع مستندات Word داخل مجلد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
264,أتمتة العمليات المجمعة,batch-remove-properties,تنظيف الخصائص دفعيًا,إزالة معلومات المستند الشخصية من ملفات مجلد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
265,أتمتة العمليات المجمعة,batch-update-fields,تحديث الحقول دفعيًا,تحديث الحقول في ملفات Word داخل مجلد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
266,أتمتة العمليات المجمعة,batch-export-pdf-v4,تحويل مجلد إلى PDF,تصدير ملفات Word الموجودة في مجلد إلى PDF.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
267,أتمتة العمليات المجمعة,batch-print-documents,طباعة مجلد مستندات,إرسال ملفات Word في مجلد إلى الطابعة الافتراضية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
268,أتمتة العمليات المجمعة,batch-save-docx,تحويل مجلد إلى DOCX,فتح ملفات Word في مجلد وحفظها بصيغة DOCX.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
269,أتمتة العمليات المجمعة,batch-pdf,تحويل مجلد إلى PDF,تحويل ملفات Word داخل مجلد إلى PDF دفعة واحدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
270,أتمتة العمليات المجمعة,archive-package,حزمة أرشيف,إنشاء مجلد يحتوي نسخة Word وPDF ومعلومات الحزمة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
271,أتمتة العمليات المجمعة,open-document-folder,فتح موقع المستند,فتح Explorer وتحديد الملف الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
272,أتمتة العمليات المجمعة,copy-as-markdown,نسخ كـ Markdown,نسخ التحديد كنص Markdown بسيط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
273,أتمتة العمليات المجمعة,copy-document-path,نسخ مسار المستند,نسخ المسار الكامل إلى الحافظة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
274,أتمتة العمليات المجمعة,export-pdf,تصدير PDF,تصدير المستند إلى PDF.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
275,أتمتة العمليات المجمعة,export-pdfa,تصدير PDF/A,تصدير أرشيفي PDF/A.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
276,أتمتة العمليات المجمعة,export-plain-text,تصدير المستند TXT,تصدير محتوى المستند كنص UTF-8.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
277,أتمتة العمليات المجمعة,export-sections-pdf,كل مقطع PDF مستقل,تصدير كل Section إلى ملف PDF منفصل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
278,أتمتة العمليات المجمعة,export-selection-pdf,تصدير التحديد PDF,تصدير الجزء المحدد فقط إلى PDF.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
279,أتمتة العمليات المجمعة,export-selection-text,تصدير التحديد TXT,حفظ النص المحدد في ملف TXT.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
280,أتمتة العمليات المجمعة,merge-documents,دمج مستندات,إدراج عدة مستندات في المستند الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
281,أتمتة العمليات المجمعة,move-selection-new-document,التحديد إلى مستند جديد,نسخ التحديد مع تنسيقه إلى مستند مستقل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
282,أتمتة العمليات المجمعة,save-all,حفظ كل المستندات,حفظ جميع مستندات Word المفتوحة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
283,أتمتة العمليات المجمعة,save-backup,نسخة احتياطية مؤرخة,حفظ نسخة احتياطية دون تغيير المستند المفتوح.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
284,أتمتة العمليات المجمعة,save-docx-copy,نسخة DOCX,إنشاء نسخة DOCX مستقلة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
285,أتمتة العمليات المجمعة,save-version,حفظ إصدار جديد,حفظ نسخة باسم يحتوي التاريخ والوقت.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
286,أتمتة العمليات المجمعة,lock-all-fields,قفل جميع الحقول,منع تحديث جميع حقول المستند مؤقتًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
287,أتمتة العمليات المجمعة,remove-all-bookmarks-pro,حذف كل الإشارات المرجعية,حذف جميع Bookmarks من المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
288,أتمتة العمليات المجمعة,toggle-field-codes,إظهار/إخفاء أكواد الحقول,التبديل بين نتائج الحقول وأكوادها.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
289,أتمتة العمليات المجمعة,unlock-all-fields,فتح جميع الحقول,إتاحة تحديث جميع حقول المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
290,أتمتة العمليات المجمعة,prefix-folder-pro,قائمة مجلدات,إضافة الرمز 📁 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
291,أتمتة العمليات المجمعة,academic-extract-citations,استخراج الاستشهادات,استخراج الاستشهادات بين الأقواس إلى تقرير جديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
292,أتمتة العمليات المجمعة,academic-footnote-audit,تدقيق الحواشي,إظهار عدد الحواشي الفارغة أو القصيرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
