id,category,title,description,keywords
long-paragraph-report,الاستخراج والتحليل,تقرير الفقرات الطويلة,إنشاء تقرير بالفقرات التي تتجاوز حد الكلمات.,تقرير فقرات طويلة
word-frequency-report,الاستخراج والتحليل,تحليل تكرار الكلمات,إنشاء تقرير بأكثر 50 كلمة تكرارًا.,تكرار كلمات تحليل
insert-current-datetime,إدارة المستند,إدراج التاريخ والوقت,إدراج التاريخ والوقت الحاليين بصيغة موحدة.,وقت تاريخ
insert-document-name,إدارة المستند,إدراج اسم المستند,إدراج اسم الملف الحالي عند المؤشر.,اسم ملف
insert-document-path,إدارة المستند,إدراج مسار المستند,إدراج المسار الكامل للملف الحالي.,مسار ملف
insert-page-break-pro,إدارة المستند,إدراج فاصل صفحة,إدراج Page Break عند المؤشر.,فاصل صفحة
insert-section-next-page,إدارة المستند,مقطع في الصفحة التالية,إدراج Section Break من نوع Next Page.,مقطع section
lock-all-fields,الحقول والأتمتة,قفل جميع الحقول,منع تحديث جميع حقول المستند مؤقتًا.,fields lock
unlock-all-fields,الحقول والأتمتة,فتح جميع الحقول,إتاحة تحديث جميع حقول المستند.,fields unlock
toggle-field-codes,الحقول والأتمتة,إظهار/إخفاء أكواد الحقول,التبديل بين نتائج الحقول وأكوادها.,field codes
remove-all-bookmarks-pro,الحقول والأتمتة,حذف كل الإشارات المرجعية,حذف جميع Bookmarks من المستند.,bookmark حذف
proofing-language-arabic,التنسيق والأنماط,لغة التدقيق العربية,تعيين لغة التدقيق للنص إلى العربية.,لغة تدقيق
proofing-language-english,التنسيق والأنماط,لغة التدقيق الإنجليزية,تعيين لغة التدقيق للنص إلى الإنجليزية.,لغة تدقيق
keep-lines-together,التنسيق والأنماط,إبقاء أسطر الفقرة معًا,منع تقسيم أسطر الفقرة بين الصفحات.,فقرة صفحة
widow-control-on,التنسيق والأنماط,منع الأرامل واليتامى,تفعيل Widow/Orphan Control للفقرات.,widow orphan
hanging-indent,التنسيق والأنماط,مسافة بادئة معلّقة,تطبيق Hanging Indent قياسي.,indent hanging
highlight-green,التنسيق والأنماط,تمييز أخضر,تمييز النص باللون الأخضر.,highlight
highlight-red,التنسيق والأنماط,تمييز أحمر,تمييز النص باللون الأحمر.,highlight
font-color-automatic,التنسيق والأنماط,لون خط تلقائي,إعادة لون الخط إلى اللون التلقائي.,لون خط
insert-risk-register-pro,أطر العمل المؤسسية,سجل مخاطر احترافي,إدراج سجل مخاطر متكامل بثمانية أعمدة.,risk مخاطر
insert-action-tracker-pro,أطر العمل المؤسسية,متابعة الإجراءات,إدراج جدول متابعة إجراءات ومسؤوليات ومواعيد.,actions متابعة
insert-issue-log-pro,أطر العمل المؤسسية,سجل المشكلات,إدراج جدول لتتبع القضايا والمشكلات حتى الإغلاق.,issue log
insert-contact-directory-pro,أطر العمل المؤسسية,دليل جهات اتصال,إدراج دليل جهات اتصال منظم.,contacts دليل
insert-inventory-table-pro,أطر العمل المؤسسية,سجل مخزون,إدراج جدول مخزون وكميات ومواقع وحالة.,inventory مخزون
paragraphs-checkboxes,الجودة والتحرير,تحويل إلى قائمة تحقق,إضافة مربع ☐ في بداية كل فقرة.,checkbox تحقق
paragraphs-checked,الجودة والتحرير,تحويل إلى قائمة منجزة,إضافة علامة ☑ في بداية كل فقرة.,checked منجز
strip-list-markers,الجودة والتحرير,حذف بادئات القوائم,إزالة الأرقام والنقاط والشرطات اليدوية من بدايات الفقرات.,قائمة تنظيف
insert-confidential-banner,إدارة المستند,شريط سري,إدراج شريط تصنيف سري أعلى المستند.,confidential سري
insert-document-control,أطر العمل المؤسسية,بطاقة ضبط المستند,إدراج بطاقة رقم الإصدار والمالك والمراجعة والاعتماد.,document control
insert-approval-table-pro,أطر العمل المؤسسية,جدول الاعتماد,إدراج جدول إعداد ومراجعة واعتماد وتواريخ.,approval اعتماد
insert-distribution-list-pro,أطر العمل المؤسسية,قائمة التوزيع,إدراج جدول الجهات المستلمة ووسيلة الإرسال والحالة.,distribution توزيع
insert-executive-summary,القوالب والمحتوى,هيكل ملخص تنفيذي,إدراج هيكل احترافي للملخص التنفيذي والنتائج والتوصيات.,executive summary
comments-report-pro,المراجعة والأمان,تقرير التعليقات,إنشاء مستند مستقل يحتوي جميع التعليقات وسياقها.,comments تقرير
revisions-summary-pro,المراجعة والأمان,ملخص التعديلات,إنشاء ملخص عددي للتعديلات المتعقبة حسب النوع.,revisions ملخص
font-aptos-11,الخطوط العالمية,Aptos 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-aptos-12,الخطوط العالمية,Aptos 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-arial-10,الخطوط العالمية,Arial 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-arial-12,الخطوط العالمية,Arial 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-arial-16,الخطوط العالمية,Arial 16,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-tahoma-10,الخطوط العالمية,Tahoma 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-tahoma-14,الخطوط العالمية,Tahoma 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-times-11,الخطوط العالمية,Times New Roman 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-times-14,الخطوط العالمية,Times New Roman 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-calibri-10,الخطوط العالمية,Calibri 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-calibri-12,الخطوط العالمية,Calibri 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-cambria-12,الخطوط العالمية,Cambria 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-georgia-12,الخطوط العالمية,Georgia 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-verdana-10,الخطوط العالمية,Verdana 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-segoe-10,الخطوط العالمية,Segoe UI 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-segoe-12,الخطوط العالمية,Segoe UI 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-noto-naskh-14,الخطوط العالمية,Noto Naskh Arabic 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-traditional-arabic-16,الخطوط العالمية,Traditional Arabic 16,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-simplified-arabic-14,الخطوط العالمية,Simplified Arabic 14,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-dubai-12,الخطوط العالمية,Dubai 12,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-courier-10,الخطوط العالمية,Courier New 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-consolas-10,الخطوط العالمية,Consolas 10,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-trebuchet-11,الخطوط العالمية,Trebuchet MS 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
font-century-gothic-11,الخطوط العالمية,Century Gothic 11,تطبيق إعداد خط عالمي جاهز على النص المحدد.,font خط preset
text-bold-on,التأكيد والألوان,غامق,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-bold-off,التأكيد والألوان,إلغاء الغامق,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-italic-on,التأكيد والألوان,مائل,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-italic-off,التأكيد والألوان,إلغاء المائل,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-underline-on,التأكيد والألوان,تسطير,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-underline-off,التأكيد والألوان,إلغاء التسطير,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-strike-on,التأكيد والألوان,يتوسطه خط,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-strike-off,التأكيد والألوان,إلغاء يتوسطه خط,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-allcaps-on,التأكيد والألوان,أحرف كبيرة,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-allcaps-off,التأكيد والألوان,إلغاء الأحرف الكبيرة,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-superscript,التأكيد والألوان,مرتفع Superscript,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
text-subscript,التأكيد والألوان,منخفض Subscript,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
font-color-red-pro,التأكيد والألوان,لون أحمر احترافي,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
font-color-blue-pro,التأكيد والألوان,لون أزرق احترافي,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
font-color-green-pro,التأكيد والألوان,لون أخضر احترافي,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
font-color-gray-pro,التأكيد والألوان,لون رمادي احترافي,تطبيق تأثير نص احترافي على التحديد.,تنسيق تأثير لون
paragraph-before-0,الفقرات الدقيقة,مسافة قبل 0,تعيين المسافة قبل الفقرة إلى 0 نقاط.,paragraph spacing
paragraph-before-3,الفقرات الدقيقة,مسافة قبل 3,تعيين المسافة قبل الفقرة إلى 3 نقاط.,paragraph spacing
paragraph-before-6,الفقرات الدقيقة,مسافة قبل 6,تعيين المسافة قبل الفقرة إلى 6 نقاط.,paragraph spacing
paragraph-before-12,الفقرات الدقيقة,مسافة قبل 12,تعيين المسافة قبل الفقرة إلى 12 نقاط.,paragraph spacing
paragraph-after-0-pro,الفقرات الدقيقة,مسافة بعد 0,تعيين المسافة بعد الفقرة إلى 0 نقاط.,paragraph spacing
paragraph-after-3-pro,الفقرات الدقيقة,مسافة بعد 3,تعيين المسافة بعد الفقرة إلى 3 نقاط.,paragraph spacing
paragraph-after-6-pro,الفقرات الدقيقة,مسافة بعد 6,تعيين المسافة بعد الفقرة إلى 6 نقاط.,paragraph spacing
paragraph-after-12-pro,الفقرات الدقيقة,مسافة بعد 12,تعيين المسافة بعد الفقرة إلى 12 نقاط.,paragraph spacing
indent-left-0-5cm,الفقرات الدقيقة,مسافة بادئة يسار 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-left-1cm,الفقرات الدقيقة,مسافة بادئة يسار 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-right-0-5cm,الفقرات الدقيقة,مسافة بادئة يمين 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-right-1cm,الفقرات الدقيقة,مسافة بادئة يمين 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-first-0-5cm,الفقرات الدقيقة,مسافة بادئة السطر الأول 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-first-1cm,الفقرات الدقيقة,مسافة بادئة السطر الأول 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-hanging-0-5cm,الفقرات الدقيقة,مسافة بادئة معلّقة 0.5 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
indent-hanging-1cm,الفقرات الدقيقة,مسافة بادئة معلّقة 1 سم,تطبيق مسافة بادئة دقيقة على الفقرات.,indent فقرة
line-exact-12,الفقرات الدقيقة,تباعد ثابت 12 نقطة,تعيين تباعد أسطر ثابت بدقة 12 نقطة.,line spacing exact
line-exact-14,الفقرات الدقيقة,تباعد ثابت 14 نقطة,تعيين تباعد أسطر ثابت بدقة 14 نقطة.,line spacing exact
line-exact-16,الفقرات الدقيقة,تباعد ثابت 16 نقطة,تعيين تباعد أسطر ثابت بدقة 16 نقطة.,line spacing exact
line-exact-18,الفقرات الدقيقة,تباعد ثابت 18 نقطة,تعيين تباعد أسطر ثابت بدقة 18 نقطة.,line spacing exact
margins-0-75cm,تخطيط الصفحة المتقدم,هوامش 0.75 سم,تطبيق هوامش موحدة بقيمة 0.75 سم.,margins هوامش
margins-1cm,تخطيط الصفحة المتقدم,هوامش 1 سم,تطبيق هوامش موحدة بقيمة 1 سم.,margins هوامش
margins-1-5cm,تخطيط الصفحة المتقدم,هوامش 1.5 سم,تطبيق هوامش موحدة بقيمة 1.5 سم.,margins هوامش
margins-2cm,تخطيط الصفحة المتقدم,هوامش 2 سم,تطبيق هوامش موحدة بقيمة 2 سم.,margins هوامش
margins-2-5cm,تخطيط الصفحة المتقدم,هوامش 2.5 سم,تطبيق هوامش موحدة بقيمة 2.5 سم.,margins هوامش
margins-3cm,تخطيط الصفحة المتقدم,هوامش 3 سم,تطبيق هوامش موحدة بقيمة 3 سم.,margins هوامش
margins-academic-pro,تخطيط الصفحة المتقدم,هوامش أكاديمية,تطبيق تخطيط هوامش احترافي جاهز.,layout هوامش
margins-official-pro,تخطيط الصفحة المتقدم,هوامش خطاب رسمي,تطبيق تخطيط هوامش احترافي جاهز.,layout هوامش
margins-binding-pro,تخطيط الصفحة المتقدم,هوامش تجليد,تطبيق تخطيط هوامش احترافي جاهز.,layout هوامش
paper-a3-pro,تخطيط الصفحة المتقدم,حجم ورق A3,تعيين حجم الورق إلى A3.,paper ورق
paper-a4-pro,تخطيط الصفحة المتقدم,حجم ورق A4,تعيين حجم الورق إلى A4.,paper ورق
paper-a5-pro,تخطيط الصفحة المتقدم,حجم ورق A5,تعيين حجم الورق إلى A5.,paper ورق
paper-letter-pro,تخطيط الصفحة المتقدم,حجم ورق Letter,تعيين حجم الورق إلى Letter.,paper ورق
paper-legal-pro,تخطيط الصفحة المتقدم,حجم ورق Legal,تعيين حجم الورق إلى Legal.,paper ورق
orientation-portrait-pro,تخطيط الصفحة المتقدم,اتجاه عمودي احترافي,تعيين اتجاه الصفحة عموديًا.,portrait عمودي
orientation-landscape-pro,تخطيط الصفحة المتقدم,اتجاه أفقي احترافي,تعيين اتجاه الصفحة أفقيًا.,landscape أفقي
columns-1-pro,تخطيط الصفحة المتقدم,أعمدة الصفحة: 1,تقسيم نص الصفحة إلى 1 أعمدة.,columns أعمدة
columns-2-pro,تخطيط الصفحة المتقدم,أعمدة الصفحة: 2,تقسيم نص الصفحة إلى 2 أعمدة.,columns أعمدة
columns-3-pro,تخطيط الصفحة المتقدم,أعمدة الصفحة: 3,تقسيم نص الصفحة إلى 3 أعمدة.,columns أعمدة
line-numbers-continuous-pro,تخطيط الصفحة المتقدم,ترقيم أسطر مستمر,إظهار أرقام الأسطر بصورة مستمرة.,line numbers
date-iso,التاريخ والمراجع,تاريخ ISO,إدراج التاريخ الحالي بالصيغة yyyy-MM-dd.,date تاريخ
date-day-month-year,التاريخ والمراجع,يوم/شهر/سنة,إدراج التاريخ الحالي بالصيغة dd/MM/yyyy.,date تاريخ
date-us,التاريخ والمراجع,تاريخ أمريكي,إدراج التاريخ الحالي بالصيغة MM/dd/yyyy.,date تاريخ
date-arabic-long,التاريخ والمراجع,تاريخ عربي طويل,إدراج التاريخ الحالي بالصيغة d MMMM yyyy.,date تاريخ
date-arabic-full,التاريخ والمراجع,تاريخ عربي كامل,إدراج التاريخ الحالي بالصيغة dddd، d MMMM yyyy.,date تاريخ
date-english-short,التاريخ والمراجع,تاريخ إنجليزي مختصر,إدراج التاريخ الحالي بالصيغة dd-MMM-yyyy.,date تاريخ
date-compact,التاريخ والمراجع,تاريخ مضغوط,إدراج التاريخ الحالي بالصيغة yyyyMMdd.,date تاريخ
date-simple,التاريخ والمراجع,تاريخ بسيط,إدراج التاريخ الحالي بالصيغة d/M/yyyy.,date تاريخ
date-month-year,التاريخ والمراجع,الشهر والسنة,إدراج التاريخ الحالي بالصيغة MMMM yyyy.,date تاريخ
date-slash-iso,التاريخ والمراجع,تاريخ بشرطات مائلة,إدراج التاريخ الحالي بالصيغة yyyy/MM/dd.,date تاريخ
time-24-short,التاريخ والمراجع,وقت 24 ساعة,إدراج الوقت الحالي بصيغة HH:mm.,time وقت
time-24-seconds,التاريخ والمراجع,وقت 24 مع الثواني,إدراج الوقت الحالي بصيغة HH:mm:ss.,time وقت
time-12-short,التاريخ والمراجع,وقت 12 ساعة,إدراج الوقت الحالي بصيغة hh:mm tt.,time وقت
time-12-seconds,التاريخ والمراجع,وقت 12 مع الثواني,إدراج الوقت الحالي بصيغة hh:mm:ss tt.,time وقت
time-compact,التاريخ والمراجع,وقت مضغوط,إدراج الوقت الحالي بصيغة HHmm.,time وقت
time-reference,التاريخ والمراجع,وقت مرجعي,إدراج الوقت الحالي بصيغة HHmmss.,time وقت
reference-doc,التاريخ والمراجع,مرجع مستند,إنشاء رقم مرجعي فريد يبدأ بـ DOC.,reference رقم مرجعي
reference-memo,التاريخ والمراجع,مرجع مذكرة,إنشاء رقم مرجعي فريد يبدأ بـ MEMO.,reference رقم مرجعي
reference-rpt,التاريخ والمراجع,مرجع تقرير,إنشاء رقم مرجعي فريد يبدأ بـ RPT.,reference رقم مرجعي
reference-case,التاريخ والمراجع,مرجع حالة,إنشاء رقم مرجعي فريد يبدأ بـ CASE.,reference رقم مرجعي
prefix-check-empty-pro,القوائم والرموز,قائمة تحقق فارغة,إضافة الرمز ☐ في بداية كل فقرة.,list symbol قائمة
prefix-check-done-pro,القوائم والرموز,قائمة منجزة,إضافة الرمز ☑ في بداية كل فقرة.,list symbol قائمة
prefix-arrow-pro,القوائم والرموز,أسهم تنفيذ,إضافة الرمز ➜ في بداية كل فقرة.,list symbol قائمة
prefix-star-pro,القوائم والرموز,نجوم,إضافة الرمز ★ في بداية كل فقرة.,list symbol قائمة
prefix-dash-pro,القوائم والرموز,شرطة طويلة,إضافة الرمز — في بداية كل فقرة.,list symbol قائمة
prefix-bullet-pro,القوائم والرموز,نقاط,إضافة الرمز • في بداية كل فقرة.,list symbol قائمة
prefix-square-pro,القوائم والرموز,مربعات,إضافة الرمز ▪ في بداية كل فقرة.,list symbol قائمة
prefix-circle-pro,القوائم والرموز,دوائر,إضافة الرمز ○ في بداية كل فقرة.,list symbol قائمة
prefix-warning-pro,القوائم والرموز,تحذيرات,إضافة الرمز ⚠ في بداية كل فقرة.,list symbol قائمة
prefix-info-pro,القوائم والرموز,معلومات,إضافة الرمز ℹ في بداية كل فقرة.,list symbol قائمة
prefix-pin-pro,القوائم والرموز,ملاحظات مثبتة,إضافة الرمز 📌 في بداية كل فقرة.,list symbol قائمة
prefix-phone-pro,القوائم والرموز,قائمة هواتف,إضافة الرمز ☎ في بداية كل فقرة.,list symbol قائمة
prefix-email-pro,القوائم والرموز,قائمة بريد,إضافة الرمز ✉ في بداية كل فقرة.,list symbol قائمة
prefix-calendar-pro,القوائم والرموز,قائمة مواعيد,إضافة الرمز 📅 في بداية كل فقرة.,list symbol قائمة
prefix-clock-pro,القوائم والرموز,قائمة أوقات,إضافة الرمز ⏱ في بداية كل فقرة.,list symbol قائمة
prefix-user-pro,القوائم والرموز,قائمة أشخاص,إضافة الرمز 👤 في بداية كل فقرة.,list symbol قائمة
prefix-file-pro,القوائم والرموز,قائمة ملفات,إضافة الرمز 📄 في بداية كل فقرة.,list symbol قائمة
prefix-folder-pro,القوائم والرموز,قائمة مجلدات,إضافة الرمز 📁 في بداية كل فقرة.,list symbol قائمة
prefix-link-pro,القوائم والرموز,قائمة روابط,إضافة الرمز 🔗 في بداية كل فقرة.,list symbol قائمة
prefix-flag-pro,القوائم والرموز,قائمة أولويات,إضافة الرمز ⚑ في بداية كل فقرة.,list symbol قائمة
wrap-parentheses-pro,الإحاطة والتحويل,أقواس دائرية,إحاطة النص المحدد بنمط أقواس دائرية.,wrap احاطة
wrap-brackets-pro,الإحاطة والتحويل,أقواس مربعة,إحاطة النص المحدد بنمط أقواس مربعة.,wrap احاطة
wrap-braces-pro,الإحاطة والتحويل,أقواس معقوفة,إحاطة النص المحدد بنمط أقواس معقوفة.,wrap احاطة
wrap-angles-pro,الإحاطة والتحويل,أقواس زاوية,إحاطة النص المحدد بنمط أقواس زاوية.,wrap احاطة
wrap-arabic-quotes-pro,الإحاطة والتحويل,اقتباس عربي,إحاطة النص المحدد بنمط اقتباس عربي.,wrap احاطة
wrap-smart-double-pro,الإحاطة والتحويل,اقتباس مزدوج ذكي,إحاطة النص المحدد بنمط اقتباس مزدوج ذكي.,wrap احاطة
wrap-smart-single-pro,الإحاطة والتحويل,اقتباس مفرد ذكي,إحاطة النص المحدد بنمط اقتباس مفرد ذكي.,wrap احاطة
wrap-arabic-brackets-pro,الإحاطة والتحويل,أقواس عربية مزخرفة,إحاطة النص المحدد بنمط أقواس عربية مزخرفة.,wrap احاطة
wrap-double-parentheses-pro,الإحاطة والتحويل,أقواس مزدوجة,إحاطة النص المحدد بنمط أقواس مزدوجة.,wrap احاطة
wrap-pipes-pro,الإحاطة والتحويل,شرطتان رأسيّتان,إحاطة النص المحدد بنمط شرطتان رأسيّتان.,wrap احاطة
wrap-slashes-pro,الإحاطة والتحويل,شرطتان مائلتان,إحاطة النص المحدد بنمط شرطتان مائلتان.,wrap احاطة
wrap-underscores-pro,الإحاطة والتحويل,شرطتا تسطير,إحاطة النص المحدد بنمط شرطتا تسطير.,wrap احاطة
filter-remove-digits-pro,الإحاطة والتحويل,حذف الأرقام,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-keep-digits-pro,الإحاطة والتحويل,الاحتفاظ بالأرقام فقط,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-remove-latin-pro,الإحاطة والتحويل,حذف الأحرف اللاتينية,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-remove-arabic-pro,الإحاطة والتحويل,حذف الأحرف العربية,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-keep-letters-pro,الإحاطة والتحويل,الاحتفاظ بالحروف فقط,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-keep-alphanumeric-pro,الإحاطة والتحويل,الاحتفاظ بالحروف والأرقام,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-remove-brackets-pro,الإحاطة والتحويل,حذف جميع الأقواس,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
filter-slashes-to-dashes-pro,الإحاطة والتحويل,تحويل الشرطات المائلة إلى شرطات,تطبيق مرشح نص احترافي على التحديد.,filter تنظيف
insert-meeting-agenda,قوالب المؤسسات العالمية,جدول أعمال اجتماع,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-meeting-minutes,قوالب المؤسسات العالمية,محضر اجتماع تنفيذي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-raci-matrix-v3,قوالب المؤسسات العالمية,مصفوفة RACI,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-swot-matrix-v3,قوالب المؤسسات العالمية,تحليل SWOT,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-pestle-matrix,قوالب المؤسسات العالمية,تحليل PESTLE,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-kpi-dashboard,قوالب المؤسسات العالمية,لوحة مؤشرات KPI,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-risk-register-v3,قوالب المؤسسات العالمية,سجل المخاطر العالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-issue-register-v3,قوالب المؤسسات العالمية,سجل المشكلات العالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-action-log-v3,قوالب المؤسسات العالمية,سجل الإجراءات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-decision-log-v3,قوالب المؤسسات العالمية,سجل القرارات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-change-request,قوالب المؤسسات العالمية,طلبات التغيير,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-lessons-learned,قوالب المؤسسات العالمية,الدروس المستفادة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-stakeholder-register,قوالب المؤسسات العالمية,سجل أصحاب المصلحة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-communication-plan,قوالب المؤسسات العالمية,خطة الاتصالات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-procurement-plan,قوالب المؤسسات العالمية,خطة المشتريات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-inventory-register-v3,قوالب المؤسسات العالمية,سجل المخزون المتقدم,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-asset-register,قوالب المؤسسات العالمية,سجل الأصول,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-incident-register,قوالب المؤسسات العالمية,سجل الحوادث,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-audit-findings,قوالب المؤسسات العالمية,نتائج التدقيق,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-training-matrix,قوالب المؤسسات العالمية,مصفوفة التدريب,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-attendance-sheet-v3,قوالب المؤسسات العالمية,كشف حضور عالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-medical-triage,قوالب المؤسسات العالمية,نموذج فرز طبي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-donor-results,قوالب المؤسسات العالمية,مصفوفة نتائج مانح,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-budget-tracker,قوالب المؤسسات العالمية,متابعة الميزانية,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-project-timeline,قوالب المؤسسات العالمية,الجدول الزمني للمشروع,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-milestone-register,قوالب المؤسسات العالمية,سجل المعالم,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-quality-checklist,قوالب المؤسسات العالمية,قائمة فحص الجودة,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-document-register-v3,قوالب المؤسسات العالمية,سجل الوثائق,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-contract-tracker,قوالب المؤسسات العالمية,متابعة العقود,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
insert-leave-tracker,قوالب المؤسسات العالمية,متابعة الإجازات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,enterprise template جدول
metric-words-pro,ذكاء المستند,عدد الكلمات,تحليل المستند وعرض عدد الكلمات.,analytics تحليل
metric-characters-pro,ذكاء المستند,عدد الأحرف,تحليل المستند وعرض عدد الأحرف.,analytics تحليل
metric-paragraphs-pro,ذكاء المستند,عدد الفقرات,تحليل المستند وعرض عدد الفقرات.,analytics تحليل
metric-pages-pro,ذكاء المستند,عدد الصفحات,تحليل المستند وعرض عدد الصفحات.,analytics تحليل
metric-tables-pro,ذكاء المستند,عدد الجداول,تحليل المستند وعرض عدد الجداول.,analytics تحليل
metric-images-pro,ذكاء المستند,عدد الصور,تحليل المستند وعرض عدد الصور.,analytics تحليل
metric-hyperlinks-pro,ذكاء المستند,عدد الروابط,تحليل المستند وعرض عدد الروابط.,analytics تحليل
metric-comments-pro,ذكاء المستند,عدد التعليقات,تحليل المستند وعرض عدد التعليقات.,analytics تحليل
